movie_id;director_id
tt0021070;nm0112897
tt0021070;nm0461348
tt0021074;nm0097648
tt0021079;nm0503777
tt0021087;nm0928514
tt0021090;nm0064600
tt0021090;nm0631438
tt0021092;nm0792514
tt0021094;nm0825596
tt0021100;nm0718469
tt0021102;nm0114266
tt0021106;nm0001124
tt0021110;nm0002031
tt0021121;nm0007973
tt0021128;nm0000033
tt0021132;nm0002031
tt0021133;nm0920074
tt0021134;nm0671501
tt0021140;nm0000406
tt0021148;nm0384276
tt0021149;nm0045800
tt0021152;nm0820461
tt0021153;nm0523932
tt0021156;nm0903049
tt0021165;nm0000033
tt0021178;nm0176699
tt0021189;nm0896542
tt0021191;nm0045800
tt0021197;nm0002031
tt0021197;nm0045800
tt0021216;nm0227020
tt0021217;nm0825596
tt0021223;nm0064600
tt0021224;nm0115218
tt0021225;nm0258015
tt0021225;nm0590701
tt0021228;nm0939992
tt0021232;nm0002188
tt0021232;nm0006276
tt0021232;nm0112897
tt0021232;nm0332539
tt0021232;nm0373511
tt0021232;nm0461348
tt0021232;nm0498174
tt0021232;nm0523932
tt0021232;nm0578985
tt0021232;nm0840042
tt0021232;nm0878338
tt0021239;nm0356931
tt0021240;nm0210352
tt0021247;nm0344927
tt0021263;nm0503777
tt0021268;nm0688040
tt0021268;nm0698839
tt0021273;nm0312866
tt0021276;nm0806143
tt0021280;nm0280463
tt0021281;nm0195496
tt0021281;nm0280463
tt0021282;nm0001008
tt0021283;nm0654868
tt0021287;nm0332539
tt0021292;nm0000859
tt0021292;nm0629243
tt0021294;nm0342417
tt0021294;nm0781292
tt0021294;nm0820461
tt0021295;nm0281808
tt0021297;nm0498174
tt0021303;nm0002031
tt0021304;nm0064415
tt0021307;nm0000859
tt0021307;nm0730018
tt0021309;nm0823088
tt0021309;nm0823089
tt0021310;nm0113284
tt0021322;nm0002030
tt0021322;nm0306875
tt0021324;nm0187981
tt0021331;nm0168413
tt0021335;nm0002188
tt0021345;nm0000859
tt0021345;nm0749484
tt0021365;nm0102643
tt0021371;nm0503777
tt0021374;nm0002179
tt0021376;nm0938464
tt0021377;nm0825596
tt0021381;nm0012317
tt0021382;nm0939992
tt0021394;nm0045800
tt0021400;nm0515979
tt0021401;nm0097648
tt0021406;nm0654868
tt0021408;nm0831577
tt0021409;nm0163229
tt0021413;nm0227020
tt0021420;nm0188669
tt0021435;nm0782682
tt0021439;nm0337586
tt0021463;nm0188669
tt0021464;nm0176699
tt0021464;nm0939992
tt0021472;nm0215877
tt0021483;nm0188669
tt0021484;nm0002489
tt0021486;nm0503777
tt0021492;nm0878338
tt0021493;nm0782682
tt0021505;nm0176699
tt0021508;nm0000406
tt0021511;nm0003490
